Club,Boat Type,Sub Category,Rank,Event
UPPER THAMES ROWING CLUB,2-,Op 2-,466,Pairs Head 2018
TEAM KEANE SCULLING SCHOOL,2x,Op 2x Club,471,Pairs Head 2018
AURIOL KENSINGTON ROWING CLUB,2x,Op 2x,472,Pairs Head 2018
CYGNET ROWING CLUB,2x,Op 2x,475,Pairs Head 2018
MARLOW ROWING CLUB,2x,Op 2x,477,Pairs Head 2018
CYGNET ROWING CLUB,2x,Op 2x,479,Pairs Head 2018
ST PAULS SCHOOL BOAT CLUB,8+,Ch 8+,1,Schools Head 2018
SHIPLAKE COLLEGE BOAT CLUB,8+,Ch 8+,2,Schools Head 2018
ETON COLLEGE BOAT CLUB,8+,Ch 8+,3,Schools Head 2018
ETON COLLEGE BOAT CLUB,8+,Sch 2nd 8+,4,Schools Head 2018
ABINGDON SCHOOL BOAT CLUB,8+,Ch 8+,5,Schools Head 2018
HAMPTON SCHOOL BOAT CLUB,8+,Ch 8+,6,Schools Head 2018
BEDFORD SCHOOL BOAT CLUB,8+,Sch 1st 8+,7,Schools Head 2018
ROYAL SHREWSBURY SCHOOL BOAT CLUB,8+,Ch 8+,8,Schools Head 2018
ST PAULS SCHOOL BOAT CLUB,8+,Sch 2nd 8+,9,Schools Head 2018
ENNISKILLEN ROYAL BOAT CLUB - IRELAND,8+,Sch 1st 8+,10,Schools Head 2018
ST EDWARDS SCHOOL BOAT CLUB,8+,Ch 8+,11,Schools Head 2018
MAIDENHEAD ROWING CLUB,4x,Ch 4x-,12,Schools Head 2018
LATYMER UPPER SCHOOL BOAT CLUB,8+,Ch 8+,13,Schools Head 2018
CANOTTIERI VARESE,8+,Ch 8+,14,Schools Head 2018
RADLEY COLLEGE BOAT CLUB,8+,Ch 8+,15,Schools Head 2018
WESTMINSTER SCHOOL BOAT CLUB,8+,Ch 8+,16,Schools Head 2018
GREAT MARLOW SCHOOL BOAT CLUB,8+,Sch 1st 8+,17,Schools Head 2018
KINGS COLLEGE SCHOOL BOAT CLUB,8+,Ch 8+,18,Schools Head 2018
WINDSOR BOYS SCHOOL THE BOAT CLUB,4x,Ch 4x-,19,Schools Head 2018
KINGS SCHOOL CHESTER THE ROWING CLUB,8+,Ch 8+,20,Schools Head 2018
NORWICH SCHOOL BOAT CLUB,8+,Sch 1st 8+,21,Schools Head 2018
ABERDEEN SCHOOLS ROWING ASSOCIATION,8+,Ch 8+,22,Schools Head 2018
RADLEY COLLEGE BOAT CLUB,8+,Sch 2nd 8+,23,Schools Head 2018
ROYAL SHREWSBURY SCHOOL BOAT CLUB,8+,Sch 2nd 8+,24,Schools Head 2018
GLOUCESTER HARTPURY,8+,Ch 8+,25,Schools Head 2018
LEANDER CLUB,4x,Ch 4x-,26,Schools Head 2018
WESTMINSTER SCHOOL BOAT CLUB,8+,Ch J16 8+,27,Schools Head 2018
MONMOUTH SCHOOL ROWING CLUB,8+,Sch 1st 8+,28,Schools Head 2018
WESTMINSTER SCHOOL BOAT CLUB,4x,Ch 4x-,29,Schools Head 2018
ST PAULS SCHOOL BOAT CLUB,8+,Ch J16 8+,30,Schools Head 2018
HAMPTON SCHOOL BOAT CLUB,8+,Sch 2nd 8+,31,Schools Head 2018
READING BLUE COAT SCHOOL BOAT CLUB,8+,Sch 1st 8+,32,Schools Head 2018
PANGBOURNE COLLEGE BOAT CLUB,8+,Sch 1st 8+,33,Schools Head 2018
SHIPLAKE COLLEGE BOAT CLUB,8+,Ch J16 8+,34,Schools Head 2018
ABERDEEN SCHOOLS ROWING ASSOCIATION,8+,Ch J15 8+,35,Schools Head 2018
ABINGDON SCHOOL BOAT CLUB,8+,Ch J16 8+,36,Schools Head 2018
SHIPLAKE COLLEGE BOAT CLUB,8+,Sch 2nd 8+,37,Schools Head 2018
ST GEORGES COLLEGE BOAT CLUB,8+,Sch 1st 8+,38,Schools Head 2018
KINGS COLLEGE SCHOOL BOAT CLUB,8+,Ch J16 8+,39,Schools Head 2018
WINDSOR BOYS SCHOOL THE BOAT CLUB,8+,Sch 1st 8+,40,Schools Head 2018
MARLOW ROWING CLUB,4x,Ch 4x-,41,Schools Head 2018
DULWICH COLLEGE BOAT CLUB,8+,Sch 1st 8+,42,Schools Head 2018
TIDEWAY SCULLERS SCHOOL,8+,Sch 1st 8+,43,Schools Head 2018
NORWICH SCHOOL BOAT CLUB,8+,Sch 1st J16 8+,44,Schools Head 2018
LATYMER UPPER SCHOOL BOAT CLUB,8+,Sch 2nd 8+,45,Schools Head 2018
KINGS COLLEGE SCHOOL BOAT CLUB,8+,Sch 2nd J16 8+,46,Schools Head 2018
BEDFORD MODERN SCHOOL BOAT CLUB,8+,Sch 1st 8+,47,Schools Head 2018
MONKTON COMBE SCHOOL BOAT CLUB,8+,Sch 1st 8+,48,Schools Head 2018
HAMPTON SCHOOL BOAT CLUB,8+,Ch J16 8+,49,Schools Head 2018
WESTMINSTER SCHOOL BOAT CLUB,8+,Ch J15 8+,50,Schools Head 2018
ST PAULS SCHOOL BOAT CLUB,8+,Sch 3rd 8+,51,Schools Head 2018
BEDFORD SCHOOL BOAT CLUB,8+,Sch 1st J16 8+,52,Schools Head 2018
CANFORD SCHOOL BOAT CLUB,8+,Sch 1st 8+,53,Schools Head 2018
HENLEY ROWING CLUB,4x,J16 4x-,54,Schools Head 2018
TIDEWAY SCULLERS SCHOOL,4x,J16 4x-,55,Schools Head 2018
ABINGDON SCHOOL BOAT CLUB,8+,Sch 2nd 8+,56,Schools Head 2018
RADLEY COLLEGE BOAT CLUB,8+,Sch 3rd 8+,57,Schools Head 2018
LEANDER CLUB,4x,Ch 4x-,58,Schools Head 2018
ETON COLLEGE BOAT CLUB,8+,Sch 3rd 8+,60,Schools Head 2018
HAMPTON SCHOOL BOAT CLUB,8+,Sch 3rd 8+,61,Schools Head 2018
RADLEY COLLEGE BOAT CLUB,8+,Ch J16 8+,62,Schools Head 2018
MOLESEY BOAT CLUB,4+,Sch/Jun 4+,63,Schools Head 2018
SHIPLAKE COLLEGE BOAT CLUB,8+,Ch J15 8+,64,Schools Head 2018
ST PAULS SCHOOL BOAT CLUB,8+,Ch J15 8+,65,Schools Head 2018
YARM SCHOOL BOAT CLUB,8+,Sch 1st 8+,66,Schools Head 2018
READING BLUE COAT SCHOOL BOAT CLUB,8+,Sch 1st J16 8+,68,Schools Head 2018
BEDFORD SCHOOL BOAT CLUB,8+,Sch 2nd 8+,69,Schools Head 2018
WINCHESTER COLLEGE BOAT CLUB,8+,Ch J15 8+,70,Schools Head 2018
HINKSEY SCULLING SCHOOL,4x,Ch 4x-,71,Schools Head 2018
FULHAM REACH BOAT CLUB,8+,Ch J15 8+,72,Schools Head 2018
EMANUEL SCHOOL BOAT CLUB,8+,Sch 1st J16 8+,73,Schools Head 2018
LANCASTER ROYAL GRAMMAR SCHOOL BOAT CLUB,4x,Ch 4x-,74,Schools Head 2018
KINGS COLLEGE SCHOOL BOAT CLUB,8+,Ch J15 8+,75,Schools Head 2018
ROYAL GRAMMAR SCH. HIGH WYCOMBE BOAT CLUB,4x,Ch 4x-,76,Schools Head 2018
LEANDER CLUB,4x,J16 4x-,78,Schools Head 2018
ST GEORGES COLLEGE BOAT CLUB,8+,Sch 1st J15 8+,79,Schools Head 2018
READING BLUE COAT SCHOOL BOAT CLUB,8+,Sch 1st J15 8+,80,Schools Head 2018
HAMPTON SCHOOL BOAT CLUB,8+,Sch 2nd J16 8+,81,Schools Head 2018
HAMPTON SCHOOL BOAT CLUB,8+,Ch J15 8+,82,Schools Head 2018
MARLOW ROWING CLUB,4x,Ch 4x-,83,Schools Head 2018
ROYAL SHREWSBURY SCHOOL BOAT CLUB,8+,Sch 3rd 8+,84,Schools Head 2018
PANGBOURNE COLLEGE BOAT CLUB,8+,Sch 1st J16 8+,85,Schools Head 2018
CANFORD SCHOOL BOAT CLUB,8+,Ch J16 8+,86,Schools Head 2018
ETON COLLEGE BOAT CLUB,8+,Ch J16 8+,87,Schools Head 2018
ABINGDON SCHOOL BOAT CLUB,8+,Ch J15 8+,88,Schools Head 2018
SIR WILLIAM BORLASE'S GRAM SCH BOAT CLUB,8+,Sch 1st J15 8+,89,Schools Head 2018
A.B. SEVERN BOAT CLUB,4x,J16 4x-,91,Schools Head 2018
NORWICH SCHOOL BOAT CLUB,8+,Sch 1st J15 8+,91,Schools Head 2018
HEREFORD CATHEDRAL SCHOOL BOAT CLUB,4x,Ch 4x-,93,Schools Head 2018
ABINGDON SCHOOL BOAT CLUB,8+,Sch 2nd J16 8+,94,Schools Head 2018
BEDFORD MODERN SCHOOL BOAT CLUB,8+,Sch 1st J16 8+,96,Schools Head 2018
NEWARK ROWING CLUB,4x,Ch 4x-,97,Schools Head 2018
KINGS SCHOOL CHESTER THE ROWING CLUB,8+,Ch J16 8+,98,Schools Head 2018
READING BLUE COAT SCHOOL BOAT CLUB,8+,Sch 2nd 8+,101,Schools Head 2018
HAMPTON SCHOOL BOAT CLUB,8+,Sch 2nd J16 8+,102,Schools Head 2018
DONCASTER SCHOOLS' ROWING ASSOCIATION,4x,Ch 4x-,104,Schools Head 2018
KINGS SCHOOL CHESTER THE ROWING CLUB,8+,Ch J15 8+,105,Schools Head 2018
KINGS SCHOOL WORCESTER THE BOAT CLUB,4x,Ch 4x-,107,Schools Head 2018
WINCHESTER COLLEGE BOAT CLUB,4+,Sch/Jun 4+,108,Schools Head 2018
KINGS COLLEGE SCHOOL BOAT CLUB,8+,Sch 2nd J15 8+,109,Schools Head 2018
WALTON ROWING CLUB,4+,Sch/Jun 4+,111,Schools Head 2018
METHODIST COLLEGE BELFAST ROWING CLUB,8+,Sch 1st 8+,112,Schools Head 2018
CANTABRIGIAN ROWING CLUB,8+,Sch 1st 8+,114,Schools Head 2018
BEDFORD SCHOOL BOAT CLUB,8+,Sch 3rd 8+,116,Schools Head 2018
DULWICH COLLEGE BOAT CLUB,8+,Sch 1st J15 8+,117,Schools Head 2018
DERBY ROWING CLUB,4x,Ch 4x-,118,Schools Head 2018
BEDFORD MODERN SCHOOL BOAT CLUB,8+,Sch 1st J15 8+,119,Schools Head 2018
HEREFORD CATHEDRAL SCHOOL BOAT CLUB,4x,Ch 4x-,120,Schools Head 2018
ROYAL SHREWSBURY SCHOOL BOAT CLUB,8+,Ch J16 8+,121,Schools Head 2018
HAMPTON SCHOOL BOAT CLUB,8+,Sch 2nd J15 8+,122,Schools Head 2018
METHODIST COLLEGE BELFAST ROWING CLUB,4x,Ch 4x-,123,Schools Head 2018
LATYMER UPPER SCHOOL BOAT CLUB,8+,Ch J15 8+,124,Schools Head 2018
ABINGDON SCHOOL BOAT CLUB,8+,Sch 2nd J15 8+,125,Schools Head 2018
FULHAM REACH BOAT CLUB,4+,Sch/Jun 4+,125,Schools Head 2018
WESTMINSTER SCHOOL BOAT CLUB,4x,J16 4x-,127,Schools Head 2018
BEDFORD SCHOOL BOAT CLUB,8+,Sch 1st J15 8+,128,Schools Head 2018
MONMOUTH SCHOOL ROWING CLUB,8+,Sch 1st J15 8+,130,Schools Head 2018
LANCASTER ROYAL GRAMMAR SCHOOL BOAT CLUB,4x,Ch 4x-,131,Schools Head 2018
ABERDEEN SCHOOLS ROWING ASSOCIATION,4+,J16 4+,132,Schools Head 2018
ST PAULS SCHOOL BOAT CLUB,4x,J16 4x-,133,Schools Head 2018
WHITGIFT SCHOOL BOAT CLUB,4x,J16 4x-,135,Schools Head 2018
BEDFORD SCHOOL BOAT CLUB,8+,Sch 2nd J16 8+,136,Schools Head 2018
ST EDWARDS SCHOOL BOAT CLUB,8+,Ch J15 8+,137,Schools Head 2018
STAINES BOAT CLUB,4x,Ch 4x-,139,Schools Head 2018
EMANUEL SCHOOL BOAT CLUB,4x,Ch 4x-,140,Schools Head 2018
ST PETER'S SCHOOL BOAT CLUB,4x,J16 4x-,141,Schools Head 2018
ORATORY SCHOOL BOAT CLUB,4+,Sch/Jun 4+,142,Schools Head 2018
MONMOUTH SCHOOL ROWING CLUB,8+,Sch 1st J16 8+,143,Schools Head 2018
WESTMINSTER SCHOOL BOAT CLUB,8+,Sch 2nd J15 8+,145,Schools Head 2018
NORWICH SCHOOL BOAT CLUB,4x,J16 4x-,146,Schools Head 2018
TIDEWAY SCULLERS SCHOOL,4x,Ch 4x-,147,Schools Head 2018
KINGS SCHOOL CANTERBURY THE BOAT CLUB,8+,Sch 1st J15 8+,149,Schools Head 2018
ROYAL SHREWSBURY SCHOOL BOAT CLUB,8+,Ch J15 8+,150,Schools Head 2018
ETON COLLEGE BOAT CLUB,8+,Sch 2nd J16 8+,152,Schools Head 2018
WALTON ROWING CLUB,4+,J16 4+,153,Schools Head 2018
WINDSOR BOYS SCHOOL THE BOAT CLUB,4x,J16 4x-,155,Schools Head 2018
ST GEORGES COLLEGE BOAT CLUB,4+,J16 4+,156,Schools Head 2018
READING BLUE COAT SCHOOL BOAT CLUB,8+,Sch 2nd J15 8+,158,Schools Head 2018
KINGSTON ROWING CLUB,4+,Sch/Jun 4+,159,Schools Head 2018
RADNOR HOUSE SCHOOL ROWING CLUB,4+,J15 4+,159,Schools Head 2018
MONKTON COMBE SCHOOL BOAT CLUB,8+,Sch 1st J16 8+,162,Schools Head 2018
DONCASTER SCHOOLS' ROWING ASSOCIATION,4x,J16 4x-,163,Schools Head 2018
METHODIST COLLEGE BELFAST ROWING CLUB,8+,Sch 1st J16 8+,165,Schools Head 2018
CHELTENHAM COLLEGE BOAT CLUB,8+,Sch 1st J15 8+,170,Schools Head 2018
PANGBOURNE COLLEGE BOAT CLUB,4+,Sch/Jun 4+,172,Schools Head 2018
CHELTENHAM COLLEGE BOAT CLUB,4x,Ch 4x-,173,Schools Head 2018
ROYAL SHREWSBURY SCHOOL BOAT CLUB,8+,Sch 2nd J15 8+,174,Schools Head 2018
RADLEY COLLEGE BOAT CLUB,8+,Ch J15 8+,176,Schools Head 2018
GEORGE HERIOT'S SCHOOL ROWING CLUB,4+,Sch/Jun 4+,178,Schools Head 2018
MERCHANT TAYLORS SCHOOL BOAT CLUB,4x,Ch 4x-,179,Schools Head 2018
HAMPTON SCHOOL BOAT CLUB,8+,Sch 2nd J15 8+,180,Schools Head 2018
DULWICH COLLEGE BOAT CLUB,4+,Sch/Jun 4+,181,Schools Head 2018
SUDBURY ROWING CLUB,4x,Ch 4x-,182,Schools Head 2018
STOWE SCULLING CLUB,8+,Sch 1st 8+,183,Schools Head 2018
MANCHESTER GRAMMAR SCHOOL BOAT CLUB,4x,Ch 4x-,186,Schools Head 2018
CANTABRIGIAN ROWING CLUB,4x,J16 4x-,187,Schools Head 2018
SHIPLAKE COLLEGE BOAT CLUB,8+,Sch 3rd 8+,188,Schools Head 2018
EMANUEL SCHOOL BOAT CLUB,8+,Sch 1st J15 8+,189,Schools Head 2018
ETON COLLEGE BOAT CLUB,8+,Ch J15 8+,190,Schools Head 2018
BEDFORD SCHOOL BOAT CLUB,8+,Sch 2nd J15 8+,192,Schools Head 2018
ROYAL SHREWSBURY SCHOOL BOAT CLUB,4+,J16 4+,194,Schools Head 2018
RADLEY COLLEGE BOAT CLUB,8+,Ch J15 8+,196,Schools Head 2018
ST GEORGES COLLEGE BOAT CLUB,8+,Sch 2nd J15 8+,197,Schools Head 2018
ETON COLLEGE BOAT CLUB,4+,J16 4+,198,Schools Head 2018
KINGS SCHOOL CANTERBURY THE BOAT CLUB,4+,J16 4+,201,Schools Head 2018
KINGSTON GRAMMAR SCHOOL BOAT CLUB,4+,Sch/Jun 4+,202,Schools Head 2018
DULWICH COLLEGE BOAT CLUB,4+,J16 4+,203,Schools Head 2018
ST PAULS SCHOOL BOAT CLUB,8+,Sch 2nd J15 8+,204,Schools Head 2018
KINGS SCHOOL CHESTER THE ROWING CLUB,4x,Ch 4x-,206,Schools Head 2018
LATYMER UPPER SCHOOL BOAT CLUB,4+,J16 4+,207,Schools Head 2018
ETON COLLEGE BOAT CLUB,8+,Ch J15 8+,208,Schools Head 2018
SHIPLAKE COLLEGE BOAT CLUB,8+,Sch 2nd J15 8+,210,Schools Head 2018
FULHAM REACH BOAT CLUB,4+,J16 4+,211,Schools Head 2018
ORATORY SCHOOL BOAT CLUB,8+,Sch 1st 8+,213,Schools Head 2018
HAMPTON SCHOOL BOAT CLUB,8+,Sch 2nd J15 8+,214,Schools Head 2018
KINGS COLLEGE SCHOOL BOAT CLUB,8+,Sch 2nd J15 8+,215,Schools Head 2018
EMANUEL SCHOOL BOAT CLUB,4x,J16 4x-,216,Schools Head 2018
MOLESEY BOAT CLUB,4+,J16 4+,217,Schools Head 2018
CANOTTIERI OLONA 1894,8+,Ch J16 8+,218,Schools Head 2018
ABINGDON SCHOOL BOAT CLUB,8+,Sch 2nd J15 8+,222,Schools Head 2018
ETON COLLEGE BOAT CLUB,8+,Ch J16 8+,223,Schools Head 2018
STAINES BOAT CLUB,4x,J16 4x-,225,Schools Head 2018
CHELTENHAM COLLEGE BOAT CLUB,4+,J16 4+,226,Schools Head 2018
ALBYN SCHOOL - SCOTLAND,4x,J16 4x-,227,Schools Head 2018
BRADFORD GRAMMAR SCHOOL BOAT CLUB,4+,Sch/Jun 4+,232,Schools Head 2018
KINGS SCHOOL CANTERBURY THE BOAT CLUB,4x,J16 4x-,234,Schools Head 2018
KINGS SCHOOL CHESTER THE ROWING CLUB,8+,Sch 2nd J15 8+,237,Schools Head 2018
WINCHESTER COLLEGE BOAT CLUB,4+,J16 4+,237,Schools Head 2018
CANTABRIGIAN ROWING CLUB,8+,Sch 2nd 8+,240,Schools Head 2018
WESTMINSTER SCHOOL BOAT CLUB,8+,Sch 2nd J15 8+,244,Schools Head 2018
PANGBOURNE COLLEGE BOAT CLUB,8+,Sch 1st J15 8+,252,Schools Head 2018
READING BLUE COAT SCHOOL BOAT CLUB,8+,Sch 2nd J15 8+,254,Schools Head 2018
DURHAM SCHOOL BOAT CLUB,4+,J15 4+,256,Schools Head 2018
ST GEORGES COLLEGE BOAT CLUB,4+,J16 4+,260,Schools Head 2018
MONMOUTH SCHOOL ROWING CLUB,4+,Sch/Jun 4+,263,Schools Head 2018
GREAT MARLOW SCHOOL BOAT CLUB,4+,J15 4+,264,Schools Head 2018
NORWICH SCHOOL BOAT CLUB,8+,Sch 2nd J15 8+,269,Schools Head 2018
FULHAM REACH BOAT CLUB,4+,J16 4+,275,Schools Head 2018
DULWICH COLLEGE BOAT CLUB,4+,Sch/Jun 4+,282,Schools Head 2018
RADLEY COLLEGE BOAT CLUB,4+,J16 4+,282,Schools Head 2018
ETON COLLEGE BOAT CLUB,8+,Sch 2nd J15 8+,284,Schools Head 2018
DULWICH COLLEGE BOAT CLUB,8+,Sch 2nd J15 8+,287,Schools Head 2018
KING EDWARD VI SCHOOL BOAT CLUB,4+,Sch/Jun 4+,289,Schools Head 2018
HAMPTON SCHOOL BOAT CLUB,8+,Sch 2nd J15 8+,293,Schools Head 2018
ETON COLLEGE BOAT CLUB,8+,Sch 2nd J15 8+,299,Schools Head 2018
LATYMER UPPER SCHOOL BOAT CLUB,4+,J15 4+,304,Schools Head 2018
ABINGDON SCHOOL BOAT CLUB,8+,Sch 2nd J15 8+,314,Schools Head 2018
BEDFORD MODERN SCHOOL BOAT CLUB,8+,Sch 2nd J15 8+,315,Schools Head 2018
BEDFORD SCHOOL BOAT CLUB,8+,Sch 2nd J15 8+,319,Schools Head 2018
BRADFORD GRAMMAR SCHOOL BOAT CLUB,4+,J15 4+,326,Schools Head 2018
EMANUEL SCHOOL BOAT CLUB,4+,J15 4+,329,Schools Head 2018
CANOTTIERI OLONA 1894,4+,Sch/Jun 4+,330,Schools Head 2018
GORSE THE BOAT CLUB,4+,Sch/Jun 4+,335,Schools Head 2018
TRENTHAM BOAT CLUB,4x+,J15.4x+,1,Head of the Trent 2018
ROYAL SHREWSBURY SCHOOL BOAT CLUB,8+,J15.8+,2,Head of the Trent 2018
BEDFORD MODERN SCHOOL BOAT CLUB,8+,J15.8+,3,Head of the Trent 2018
ROYAL SHREWSBURY SCHOOL BOAT CLUB,8+,J15.8+,4,Head of the Trent 2018
NOTTINGHAM AND UNION ROWING CLUB,8+,Beginner.8+,5,Head of the Trent 2018
SWANSEA UNIVERSITY ROWING CLUB,8+,Beginner.8+,6,Head of the Trent 2018
BURTON LEANDER ROWING CLUB,4x+,J15.4x+,8,Head of the Trent 2018
ROYAL SHREWSBURY SCHOOL BOAT CLUB,8x+,J14.8x+,10,Head of the Trent 2018
YORK CITY ROWING CLUB,4x+,J14.4x+,12,Head of the Trent 2018
TRENTHAM BOAT CLUB,4x+,J14.4x+,13,Head of the Trent 2018
TRENTHAM BOAT CLUB,4x,Beginner.4x-,14,Head of the Trent 2018
ROYAL SHREWSBURY SCHOOL BOAT CLUB,8x+,J14.8x+,17,Head of the Trent 2018
DERBY ROWING CLUB,4x,Beginner.4x-,18,Head of the Trent 2018
BEDFORD MODERN SCHOOL BOAT CLUB,8+,J15.8+,20,Head of the Trent 2018
BRADFORD GRAMMAR SCHOOL BOAT CLUB,4x+,J15.4x+,27,Head of the Trent 2018
BRADFORD GRAMMAR SCHOOL BOAT CLUB,4x+,J14.4x+,38,Head of the Trent 2018
AGECROFT ROWING CLUB,8+,B1.8+,1,Head of the Trent 2018
ROYAL CHESTER ROWING CLUB,8+,B1.8+,2,Head of the Trent 2018
ETON COLLEGE BOAT CLUB,8+,B1.8+,2,Head of the Trent 2018
AGECROFT ROWING CLUB,8+,B1.8+,4,Head of the Trent 2018
ETON COLLEGE BOAT CLUB,8+,B2.8+,5,Head of the Trent 2018
AGECROFT ROWING CLUB,8+,B2.8+,6,Head of the Trent 2018
NOTTINGHAM ROWING CLUB,8+,B2.8+,7,Head of the Trent 2018
ROYAL SHREWSBURY SCHOOL,8+,B1.8+,8,Head of the Trent 2018
KINGS SCHOOL CHESTER,8+,B2.8+,9,Head of the Trent 2018
BRADFORD GRAMMAR SCHOOL BOAT CLUB,4x+,J14.4x+,46,Head of the Trent 2018
ROYAL SHREWSBURY SCHOOL,8+,B2.8+,10,Head of the Trent 2018
STRATFORD-UPON-AVON BOAT CLUB,8+,B2.8+,11,Head of the Trent 2018
LEEDS ROWING CLUB,8+,B3.8+,12,Head of the Trent 2018
STAR CLUB,4-,B1.4-,1,Head of the Trent 2018
TRENTHAM BOAT CLUB,4x,B1.4x-,2,Head of the Trent 2018
SWANSEA UNIVERSITY ROWING CLUB,8+,B3.8+,13,Head of the Trent 2018
NOTTINGHAM ROWING CLUB,8+,B3.8+,14,Head of the Trent 2018
WARWICK BOAT CLUB,8+,B4.8+,15,Head of the Trent 2018
NEWARK ROWING CLUB,8+,J18.8+,16,Head of the Trent 2018
MILTON KEYNES ROWING CLUB,8+,B4.8+,17,Head of the Trent 2018
LINCOLN ROWING CENTRE,8+,B4.8+,18,Head of the Trent 2018
PETERBOROUGH / LINCOLN,8+,MasD.8+,4,Head of the Trent 2018
LEICESTER ROWING CLUB,4x,B1.4x-,5,Head of the Trent 2018
BEDFORD ROWING CLUB,8+,B4.8+,19,Head of the Trent 2018
KINGS SCHOOL CHESTER,4x,B2.4x-,6,Head of the Trent 2018
STAR CLUB / BEDFORD RC,8+,MasD.8+,7,Head of the Trent 2018
YORK CITY ROWING CLUB,4x,J18.4x-,20,Head of the Trent 2018
GROSVENOR ROWING CLUB,8+,MasE.8+,9,Head of the Trent 2018
TYNE AMATEUR ROWING CLUB,8+,MasE.8+,10,Head of the Trent 2018
YORK CITY ROWING CLUB,8+,MasD.8+,11,Head of the Trent 2018
STAR CLUB,8+,MasE.8+,12,Head of the Trent 2018
LEEDS ROWING CLUB,4x,B3.4x-,13,Head of the Trent 2018
ROYAL SHREWSBURY SCHOOL,8+,J16.8+,21,Head of the Trent 2018
STAR/PETERBOROUGH/LEICESTER [B],4x,MasA/B/C.4x-,22,Head of the Trent 2018
ROYAL AIR FORCE ROWING CLUB,8+,B4.8+,23,Head of the Trent 2018
YARM SCHOOL BOAT CLUB,4x,B2.4x-,14,Head of the Trent 2018
CITY OF SHEFFIELD RC,4-,B1.4-,15,Head of the Trent 2018
YORK CITY ROWING CLUB,8+,B3.8+,24,Head of the Trent 2018
ROYAL CHESTER ROWING CLUB,8+,MasE.8+,17,Head of the Trent 2018
NOTTINGHAM ROWING CLUB,8+,MasE.8+,18,Head of the Trent 2018
DERBY ROWING CLUB,4x,B2.4x-,20,Head of the Trent 2018
BEDFORD ROWING CLUB,4-,B2.4-,21,Head of the Trent 2018
DEVIL'S ELBOW ROWING CLUB [B],8+,MasB/C.8+,22,Head of the Trent 2018
KINGS SCHOOL CHESTER,8+,J16.8+,26,Head of the Trent 2018
BEDFORD ROWING CLUB [C],8+,MasB/C.8+,24,Head of the Trent 2018
LEICESTER ROWING CLUB,8+,B4.8+,28,Head of the Trent 2018
BEDFORD MODERN SCHOOL BOAT CLUB,8+,J16.8+,29,Head of the Trent 2018
NOTTINGHAM & UNION ROWING CLUB,8+,MasD.8+,25,Head of the Trent 2018
DERBY/DERWENT/BURTON LEANDER,8+,MasG.8+,26,Head of the Trent 2018
TRENT ROWING CLUB [C],4x,MasA/B/C.4x-,31,Head of the Trent 2018
LINCOLN ROWING CENTRE,4x,B2.4x-,31,Head of the Trent 2018
KINGS SCHOOL CHESTER,8+,J16.8+,32,Head of the Trent 2018
YORK CITY ROWING CLUB,4x,B2.4x-,34,Head of the Trent 2018
BEDFORD ROWING CLUB,4x,B2.4x-,35,Head of the Trent 2018
NOTTINGHAM ROWING CLUB,8+,B4.8+,33,Head of the Trent 2018
LEEDS ROWING CLUB,4x,B2.4+,39,Head of the Trent 2018
LEEDS ROWING CLUB,4x,B1.4+,40,Head of the Trent 2018
TRENTHAM BOAT CLUB,4x,B2.4+,44,Head of the Trent 2018
BRADFORD GRAMMAR SCHOOL,4-,J18.4-,36,Head of the Trent 2018
NORTH STAFFORDSHIRE ROWING CLUB,4x,J18.4x-,37,Head of the Trent 2018
NEWARK ROWING CLUB [C],4x,Mas.4+,38,Head of the Trent 2018
NOTTINGHAM TRENT UNIVERSITY RC,4-,B2.4-,46,Head of the Trent 2018
NOTTINGHAM UNIVERSITY BC,4x,B2.4+,48,Head of the Trent 2018
NOTTINGHAM ROWING CLUB [E],4x,Mas.4+,39,Head of the Trent 2018
NOTTINGHAM ROWING CLUB [F],4-,Mas.4-,42,Head of the Trent 2018
BRADFORD / YORK,8+,MasE.8+,52,Head of the Trent 2018
NOTTINGHAM ROWING CLUB,4x,B2.4+,53,Head of the Trent 2018
BEDFORD ROWING CLUB,8+,MasE.8+,54,Head of the Trent 2018
BRADFORD AMATEUR ROWING CLUB [E],4x,MasD/E/F.4x-,46,Head of the Trent 2018
NOTTINGHAM & UNION ROWING CLUB [F],4x,MasD/E/F.4x-,49,Head of the Trent 2018
ROYAL AIR FORCE ROWING CLUB,4x,B2.4+,55,Head of the Trent 2018
NOTTINGHAM ROWING CLUB,4x,B3.4x-,59,Head of the Trent 2018
NOTTINGHAM ROWING CLUB [G],4x,Mas.4+,57,Head of the Trent 2018
THE GORSE BOAT CLUB,4x,J18.4+,58,Head of the Trent 2018
BRADFORD GRAMMAR SCHOOL,4x,J18.4+,64,Head of the Trent 2018
NORTH STAFFORDSHIRE ROWING CLUB [D],4-,Mas.4-,66,Head of the Trent 2018
ABINGDON SCH,4-,Challenge Coxless Fours: Heat A,NA,Wallingford Regatta 2018
ABINGDON SCH,8+,Challenge Eights: Heat A,2,Wallingford Regatta 2018
ABINGDON SCH,4-,Challenge Coxless Fours: Heat B,NA,Wallingford Regatta 2018
ABINGDON SCH,8+,Junior/School A Eights: Heat B,4,Wallingford Regatta 2018
ABINGDON SCH,8+,Junior/School B Eights: Heat B,3,Wallingford Regatta 2018
ABINGDON SCH,8+,Junior U16 Eights: Heat A,1,Wallingford Regatta 2018
